id;Paper;Year;DOI_URL;Author(s);Process Model;Regulation Strategy;Technology;Frequency;Trigger Mechanism;Personalization;Feedback Form
1;Variapsody: Creating Three Interactive Music Listening Experiences that Use Diversified Positive Emotion Regulation Strategies to Promote Subjective Well-being;2025;https://doi.org/10.1145/3491101.3519743;Boughanem and Yoon 2025;Situation Modification;Reappraisal;Wearable;Single Session;Self;Static;Audio
2;EmotionCheck: leveraging bodily signals and false feedback to regulate our emotions;2022;https://doi.org/10.1145/3490149.3501330;Cohrane et al. 2022;Attentional Deployment;Reappraisal;Wearable;Multiple Short Sessions;Scheduled;User Input;Physiological, Visual
3;EmotionCheck: leveraging bodily signals and false feedback to regulate our emotions;2016;https://doi.org/10.1145/2971648.2971752;Costa et al. 2016;Attentional Deployment;Suppression;Wearable;Single Session;Scheduled;Static;Physiological
4;Regulating Feelings During Interpersonal Conflicts by Changing Voice Self-perception;2018;https://doi.org/10.1145/3173574.3174205;Costa et al. 2018;Response Modulation;Suppression;Wearable;Single Session;Scheduled;User Input;Audio
5;BoostMeUp: A Smartwatch App to Regulate Emotions and Improve Cognitive Performance;2020;https://doi.org/10.1145/3427384.3427393;Costa et al. 2020;Response Modulation;Suppression;Wearable;Single Session;Scheduled;Static;Physiological
6;Evaluating a brief smartphone-based stress management intervention with heart rate biofeedback from built-in sensors in a three arm randomized controlled trial;2025;https://doi.org/10.1038/s41598-025-06588-4;Fuhrmann et al. 2025;Response Modulation;Reappraisal;Mobile App;Daily Short Sessions;Self;User Input;Text, Activities
7;EMMA: An Emotion-Aware Wellbeing Chatbot;2019;https://doi.org/10.1109/ACII.2019.8925455;Ghandeharioun et al. 2019;Cognitive Change;Reappraisal ;Chatbot;Multiple Short Sessions;Sensor;Machine Learning;Activities
8;Designing a Smartwatch-based Micro-Intervention to Support Students Emotion Regulation;2024;https://doi.org/10.1145/3670653.3677520;Greiner et al. 2024;Attentional Deployment;Reappraisal ;Wearable;Multiple Short Sessions;Scheduled;User Input;Text
9;"Enhancing Internet-based psychotherapy for adults with emotional disorders using ecological momentary assessments and interventions: Study protocol of a feasibility trial with ""My EMI, Emotional Well-being"" app";2023;https://doi.org/10.1016/j.invent.2023.100601;Gual-Montolio et al. 2023;Cognitive Change;Reappraisal;Mobile App;Daily Short Sessions;Scheduled;User Input;Text, Visual, Activities
10;Scaling a Brief Digital Well-Being Intervention (the Big Joy Project) and Sociodemographic Moderators: Single-Group Pre-Post Study;2024;https://doi.org/10.2196/72053;Guevarra et al. 2025;Attentional Deployment;Other;Website;Daily Short Sessions;Scheduled;Static;Activities
11;Design and Implementation of a Brief Digital Mindfulness and Compassion Training App for Health Care Professionals: Cluster Randomized Controlled Trial;2024;https://doi.org/10.2196/49467;Jaiswal et al. 2024;Response Modulation;Other;Mobile App;Daily Short Sessions;Self;Static ;Activities
12;Optimization of a Mobile Transdiagnostic Emotion Regulation Intervention for University Students: A Micro-Randomized Trial;2025;https://doi.org/10.1002/smi.3507;Laure et al. 2025;Cognitive Change;Other;Mobile App;Daily Short Sessions;Self;User Input;Text, Activities
13;Evaluating a Personalizable, Inconspicuous Vibrotactile(PIV) Breathing Pacer for In-the-Moment Affect Regulation;2020;https://doi.org/10.1145/3313831.3376757;Miri et al. 2020;Response Modulation;Reappraisal, Suppression;Wearable;Single Session;Scheduled;User Input;Physiological
14;"Is providing mobile interventions ""just-in-time"" helpful? an experimental proof of concept study of just-in-time intervention for stress management";2016;https://doi.org/10.1109/WH.2016.7764561;Smyth et al. 2016;Attentional Deployment, Cognitive Change;Reappraisal, Other;Mobile App;Multiple Short Sessions;Self, Scheduled;Static;Activities
15;BRieFLY: Mindful Breathing and Playful Interaction to Foster Self-Connection in Mixed Reality;2025;https://doi.org/10.1145/3706599.3720237;Ural et al. 2025;Situation Modification;Reappraisal;VR/AR;Single Session;Scheduled;Static;Activities
16;MoodShaper: A Virtual Reality Experience to Support Managing Negative Emotions;2024;https://doi.org/10.1145/3643834.3661570;Wagener et al. 2024;Response Modulation;Reappraisal ;VR/AR;Single Session;Self ;Static;Activities
17;Comparative effectiveness and user-rated helpfulness of digital just-in-time adaptive interventions for psychological distress;2025;https://doi.org/10.1016/j.jad.2025.119878;Yarrington et al. 2025;Attentional Deployment, Cognitive Change;Reappraisal, Other;Mobile App;Daily Short Sessions;Self;User Input;Activities
18;Affective Touch as Immediate and Passive Wearable Intervention;2023;https://doi.org/10.1145/3569484;Zhao et al. 2023;Response Modulation;Suppression;Wearable;Single Session;Sensor;Rule-Based;Physiological
